dx,opname,optype,approach,position,count
Parathyroid adenoma,Subtotal parathyroidectomy,Thyroid,Open,Supine,1
Epithelial ovarian cancer unknown stage,Oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Cecal volvulus,Exploratory laparotomy,Others,Open,Lithotomy,1
thyroid nodule,Total thyroidectomy,Thyroid,Open,Supine,1
Non-Hodgkin Lymphoma,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Dyspnea,Hernia repair,Colorectal,Open,Supine,1
Benign neoplasm of breast right,Wide excision,Others,Open,Supine,1
Lung cancer left,Lung lobectomy,Major resection,Open,Left lateral decubitus,1
Familial adenomatous polyposis,Total proctocolectomy,Colorectal,Open,Lithotomy,1
Colorectal cancer,Anterior resection,Colorectal,Open,Supine,1
Gallbladder stone Without mention of obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Acute acalculous cholecystitis ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Epithelial ovarian cancer unknown stage unspecified side,Staging laparotomy,Minor resection,Open,Lithotomy,1
Esophageal stenosis,Esophagectomy,Others,Open,Supine,1
Rectal cancer,Ileostomy repair,Colorectal,Open,Left lateral decubitus,1
Metastatic cancer to the inguinal area,Inguinal lymph node dissection,Colorectal,Open,Supine,1
Breech presentation of fetus,Cesarean section,Others,Open,Supine,1
Pancreas transplant status,Exploratory laparotomy,Others,Open,Supine,1
Metastatic cancer to the liver,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,1
Adrenal gland disease,Adrenalectomy,Others,Videoscopic,Supine,1
Vestibular schwannoma,Incisional hernia repair,Colorectal,Open,Supine,1
Undifferentiated pleomorphic sarcoma of pelvis ,Exploratory laparotomy,Others,Open,Lithotomy,1
Crohn's disease severe,Exploratory laparotomy,Others,Open,Supine,1
Cervical cancer unknown stage,Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
"Hemangioendothelioma, benign other sites",Excision,Others,Open,Supine,1
Hyperparathyroidism ,Subtotal parathyroidectomy,Thyroid,Open,Supine,1
Appendiceal cancer,Hemicolectomy,Colorectal,Open,Lithotomy,1
Lung abscess ,Exploration of wound,Others,Open,Left lateral decubitus,1
Colon cancer,Lung segmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Neuroendocrine carcinoma,Radical excision of cervical lymph nodes,Others,Open,Supine,1
Vesicovaginal fistula,Ileostomy repair,Colorectal,Open,Supine,1
Colon cancer,Hemicolectomy,Colorectal,Videoscopic,Trendelenburg,1
Hydrosalpinx,Salpingectomy,Minor resection,Videoscopic,Lithotomy,1
"Neuroendocrine tumor of rectum, G1",Low anterior resection,Colorectal,Open,Lithotomy,1
Osteosarcoma ,Transverse loop colostomy,Colorectal,Open,Supine,1
Atherosclerosis obliterans without gangrene,Arteriovenous fistula,Vascular,Open,Supine,1
"Rectal carcinoid tumor, malignant",Transanal endoscopic microsurgery,Colorectal,Open,Lithotomy,1
"Pulmonary tuberculosis, confirmed by culture only with cavitation",Decortication,Others,Videoscopic,Left lateral decubitus,1
Lymphoma,Biopsy,Others,Videoscopic,Supine,1
Metastatic cancer to the abdomen,Debulking surgery,Others,Open,Supine,1
Gastrointestinal stromal tumor ,Exploratory laparotomy,Others,Open,Lithotomy,1
Hyperoxaluria,Exploratory laparotomy,Others,Open,Supine,1
Adenocarcinoma of colon,Hemicolectomy,Colorectal,Open,Supine,1
Adenocarcinoma of lung left,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Duodenal cancer,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Pulmonary fibrosis,Lung transplantation,Transplantation,Open,Supine,1
Atypical carcinoid tumor,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Adrenal gland disease,Adrenalectomy,Others,Videoscopic,Left lateral decubitus,1
Thymoma ,Exploration,Others,Videoscopic,Right lateral decubitus,1
liposarcoma ,Exploratory laparotomy,Others,Open,Supine,1
Small intestine obstruction,Exploratory laparotomy,Others,Open,Supine,1
Lung cancer right,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Lung cancer unspecified side,Lung lobectomy,Major resection,Open,Left lateral decubitus,1
Premature rupture of membrane early preterm (less than 34 weeks),McDonald operation,Others,Open,Trendelenburg,1
Myelofibrosis,Splenectomy,Biliary/Pancreas,Open,Supine,1
Hemoptysis,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Colorectal cancer ,Exploratory laparotomy,Others,Open,Lithotomy,1
Paget's disease of breast left,Simple mastectomy,Breast,Open,Supine,1
Morbid obesity ,Gastric bypass,Stomach,Open,Supine,1
Hypertensive heart disease,Incisional hernia repair,Colorectal,Open,Supine,1
Mediastinal cyst,Excision,Others,Videoscopic,Right lateral decubitus,1
Hepatocellular carcinoma ,Peritoneal mass excision,Others,Videoscopic,Lithotomy,1
Kidney transplant status,Incisional hernia repair,Colorectal,Open,Supine,1
"Colon cancer, descending",Hartmann procedure,Colorectal,Open,Lithotomy,1
Adenocarcinoma of ampulla of vater,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Obturator hernia,Hernia repair,Colorectal,Open,Supine,1
"Malignant thymoma, type B1",Plication,Others,Videoscopic,Left lateral decubitus,1
"Cholangiocarcinoma, intrahepatic",Liver bisegmentectomy,Hepatic,Open,Supine,1
"Villous adenoma, colon",Hemicolectomy,Colorectal,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, malignant",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Ampulla of vater cancer,Wide excision,Others,Open,Supine,1
Appendiceal cancer ,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
"Colon cancer, hepatic flexure",Subtotal colectomy,Colorectal,Open,Lithotomy,1
Gastric perforation ,Exploratory laparotomy,Others,Open,Supine,1
Metastatic cancer to the thorax,Resection of rib,Others,Open,Prone,1
Acute cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Lithotomy,1
Vulvar cancer unknown stage ,Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Superior mesenteric artery thrombosis,Exploratory laparotomy,Others,Open,Supine,1
Hepatocellular carcinoma,Excision,Biliary/Pancreas,Open,Supine,1
Metastatic cancer to the lung left,Exploratory thoracotomy,Others,Open,Right lateral decubitus,1
Rectourethral fistula ,Transplantation of gracilis muscle,Colorectal,Open,Lithotomy,1
Thyroid nodule ,Thyroid isthmectomy,Thyroid,Open,Supine,1
Renovascular hypertension,Aortorenal bypass,Vascular,Open,Supine,1
Colon cancer,Low anterior resection,Colorectal,Videoscopic,Supine,1
Direct inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,1
Ductal carcinoma in situ of breast right,Mastectomy,Breast,Open,Supine,1
Thyroid nodule ,Adrenalectomy,Others,Open,Supine,1
"Cholangiocarcinoma, extrahepatic",Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Pancreatic cancer,Total pancreatectomy,Biliary/Pancreas,Open,Supine,1
Colon obstruction ,Exploratory laparotomy,Others,Open,Supine,1
Colorectal cancer,Incisional hernia repair,Colorectal,Open,Supine,1
Thyroid cancer,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Duodenal cancer ,Small bowel segmental resection,Stomach,Open,Supine,1
Peripheral artery occlusive disease involving arteries below knee,Bleeding control,Others,Open,Supine,1
Non-small cell lung cancer right,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Abdominal hernia,Incisional hernia repair,Colorectal,Open,Supine,1
Cholecystitis,Segmental resection of bile duct,Biliary/Pancreas,Open,Supine,1
bronchiectasis ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Colorectal polyp ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
"desmoid tumor, FAP",Exploratory laparotomy,Others,Open,Supine,1
Kidney transplant status,Exploratory laparotomy,Others,Open,Supine,1
Abdominal hernia,Hernia repair,Colorectal,Open,Right lateral decubitus,1
Papillary thyroid carcinoma,Total thyroidectomy,Thyroid,Open,Supine,1
Ileus,Adhesiolysis,Others,Videoscopic,Supine,1
Dyspepsia,Gastrojejunostomy,Stomach,Videoscopic,Supine,1
"Neoplasm of appendix, uncertain behavior",Appendectomy,Colorectal,Videoscopic,Supine,1
"Pelvic abscess, male",Exploratory laparotomy,Others,Open,Supine,1
Granulomatous mastitis,Incision and drainage,Others,Open,Supine,1
Chronic cough,Hernia repair,Colorectal,Open,Supine,1
Early gastric cancer,Pylorus preserving gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,1
Mediastinal mass,Thymectomy,Others,Videoscopic,Left lateral decubitus,1
Squamous cell carcinoma of lung,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Nontuberculous mycobacterial infection,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Benign neoplasm of breast right,Excision,Breast,Open,Supine,1
Wilson' disease ,Exploratory laparotomy,Others,Open,Supine,1
Lymph node metastasis,Paraaortic lymph node dissection,Others,Open,Supine,1
malignant fibrous histiocytoma,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Colon cancer,Extended hemicolectomy,Colorectal,Open,Supine,1
Ileus ,Ileostomy,Colorectal,Open,Supine,1
Abnormal findings on diagnostic imaging of lung ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
End stage renal disease,Embolectomy,Vascular,Open,Supine,1
Rectal cancer ,Anterior resection,Colorectal,Videoscopic,Lithotomy,1
Metastatic cancer to the liver ,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,1
Gallbladder cholesterol polyp,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Acute appendicitis with perforation,Ileocolectomy,Colorectal,Open,Supine,1
"Kidney donor, live related",Donor nephrectomy,Transplantation,Videoscopic,Left kidney,1
Solitary pulmonary nodule,Lung wedge resection,Minor resection,Videoscopic,Supine,1
Inguinal hernia not specified as recurrent,Colostomy,Colorectal,Open,Supine,1
"Early gastric cancer, adenocarcinoma",Total gastrectomy,Stomach,Videoscopic,Supine,1
Empyema with bronchopleural fistula ,Debridement of wound,Others,Videoscopic,Right lateral decubitus,1
varicose vein of lower extremities ,Ligation and stripping,Vascular,Open,Supine,1
Hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Videoscopic,Supine,1
Unspecified gastric cancer,Total gastrectomy,Stomach,Robotic,Supine,1
Lung cancer,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,1
"Abnormal chest CT, lung nodule",Lung sgmentectomy,Minor resection,Videoscopic,Supine,1
Lung cancer right,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Neuroendocrine tumor of duodenum, G1",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Unspecified gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,1
"Colon cancer, sigmoid",Subtotal colectomy,Colorectal,Open,Lithotomy,1
"hamartoma of lung, Right",Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Esophageal cancer,Exploratory laparotomy,Others,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, borderline",Subtotal pancreatectomy,Biliary/Pancreas,Open,Supine,1
"Cervical cancer, stage 1B1",Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
"Solid pseudopapillary tumor of pancreas, malignant",Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Liver cirrhosis with esophageal varix Unspecified,Liver transplantation,Transplantation,Open,Supine,1
"Kidney donor, live related",Donor nephrectomy,Transplantation,Videoscopic,Left lateral decubitus,1
Hepatocellular carcinoma,Removal of complicated graft,Vascular,Open,Supine,1
Mediastinal mass ,Excision,Others,Videoscopic,Supine,1
Thyroid nodule,Total thyroidectomy,Thyroid,Videoscopic,Supine,1
Cervical cancer unknown stage ,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,1
Adenocarcinoma of anus,Exploratory laparotomy,Others,Open,Lithotomy,1
"Phyllodes tumor of breast, benign left",Excision,Others,Open,Supine,1
Foreign body in anus and rectum,Low anterior resection,Colorectal,Open,Lithotomy,1
"Tubular adenoma, colon",Hemicolectomy,Colorectal,Open,Supine,1
"Colon cancer, sigmoid",subtotal colectomy,Colorectal,Videoscopic,Lithotomy,1
Unspecified gastric cancer ,Pylorus preserving gastrectomy,Stomach,Videoscopic,Supine,1
Malignant neoplasm of liver ,Hemihepatectomy,Hepatic,Videoscopic,Lithotomy,1
Breast cancer right,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Autosomal dominant polycystic kidney disease,Bleeding control,Others,Open,Supine,1
Rectal cancer,Abdominoperineal resection,Colorectal,Videoscopic,Lithotomy,1
Superior mesenteric artery syndrome,Exploratory laparotomy,Others,Open,Supine,1
Incisional hernia ,Hernia repair,Colorectal,Open,Supine,1
Infiltrating lobular carcinoma of breast left,Mastectomy,Breast,Open,Supine,1
Antenatal care for normal pregnancy 34 weeks or more pregnant,Cesarean section,Others,Open,Lithotomy,1
Colorectal cancer,Total colectomy,Colorectal,Videoscopic,Lithotomy,1
Hydrocele,Excision,Others,Open,Supine,1
colon cancer,subtotal colectomy,Colorectal,Open,Lithotomy,1
Colon disease,Anterior resection,Colorectal,Open,Lithotomy,1
Cervical cancer,Wide excision,Others,Open,Lithotomy,1
Duodenal perforation,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
"Ovarian cyst, right",Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Pelvic mass,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,1
Pancreatic head cancer ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Ovarian cyst ,Ovarian cystectomy,Major resection,Videoscopic,Prone,1
Hepatocellular carcinoma,Excision,Others,Open,Lithotomy,1
"Colon cancer, rectosigmoid",Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Infiltrating ductal carcinoma of breast right,Wide excision,Others,Open,Supine,1
Ileostomy prolapse ,Ileostomy repair,Colorectal,Open,Supine,1
Incompetent internal os of cervix in pregnancy 22~34 weeks pregnant,McDonald operation,Others,Open,Lithotomy,1
breast cancer ,Excision,Others,Open,Supine,1
Colonic adenoma,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Hemangiopericytoma,Exploratory laparotomy,Others,Open,Supine,1
"Mucinous cystic neoplasm of pancreas, benign",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Lung cancer right,Bleeding control,Others,Videoscopic,Left lateral decubitus,1
Taste disorder,Ligation and stripping,Vascular,Open,Supine,1
"Cholangiocarcinoma, intrahepatic",Exploratory laparotomy,Others,Open,Supine,1
Rectal cancer ,Hartmann procedure,Colorectal,Videoscopic,Lithotomy,1
Malignant neoplasm of appendix,Cecectomy,Colorectal,Open,Supine,1
Adenocarcinoma of lung,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,1
Mesothelioma of pleura,Pleurodesis,Others,Open,Right lateral decubitus,1
Intraductal papilloma of breast left,Wide excision,Others,Open,Supine,1
Duodenal perforation,Extended hemihepatectomy,Hepatic,Open,Supine,1
Prostate cancer,Excision,Others,Open,Supine,1
Colon cancer ,Extended hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
Intestinal perforation ,Exploratory laparotomy,Others,Open,Supine,1
Abnormal findings on diagnostic imaging of lung,Lung wedge resection,Minor resection,Videoscopic,Supine,1
"Colon cancer, ascending",subtotal colectomy,Colorectal,Open,Supine,1
adhesive ileus ,Exploratory laparotomy,Others,Open,Supine,1
Symptomatic gallbladder stone,Cholecystectomy,Biliary/Pancreas,Videoscopic,Trendelenburg,1
Metastatic cancer to the pleura ,Resection of chest wall with reconstruction,Others,Open,Right lateral decubitus,1
"Advanced gastric cancer, signet ring cell carcinoma",Total gastrectomy,Stomach,Videoscopic,Supine,1
Malignant peripheral nerve sheath tumor,Lung wedge resection,Others,Videoscopic,Right lateral decubitus,1
Ovarian cyst,Radical hysterectomy,Major resection,Videoscopic,Trendelenburg,1
Tuberculous pleurisy without mention of bacteriology and histology without cavitation or unspecified,Decortication,Others,Open,Right lateral decubitus,1
Fibrous dysplasia of chest wall,Excision,Others,Open,Left lateral decubitus,1
Abdominal distension,Colostomy,Colorectal,Open,Supine,1
hepatocellular carcinoma,Liver transplantation,Transplantation,Open,Supine,1
Duodenal polyp,Peritoneal mass excision,Others,Videoscopic,Supine,1
"Colon cancer, ascending",Hemicolectomy,Colorectal,Videoscopic,Trendelenburg,1
Early gastric cancer,Radical prostatectomy,Stomach,Open,Supine,1
"Common bile duct cancer, distal",Liver sectionectomy,Hepatic,Open,Supine,1
"Pelvic abscess, female",Exploratory laparotomy,Others,Open,Lithotomy,1
Liposarcoma of retroperitoneum,Debulking surgery,Others,Open,Supine,1
Early gastric cancer,Total gastrectomy,Stomach,Robotic,Reverse Trendelenburg,1
Disorder of kidney and ureter ,Nephrectomy,Major resection,Robotic,Supine,1
End stage renal disease,Nephrectomy,Vascular,Open,Supine,1
Breast disease,Excision,Breast,Open,Supine,1
hepatocellular carcinoma ,Peritoneal mass excision,Others,Videoscopic,Lithotomy,1
Fibrocystic disease of breast,Excision,Others,Open,Supine,1
End stage renal disease,Reposition of continuous ambulatory peritoneal dialysis catheter,Stomach,Videoscopic,Supine,1
Advanced gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Lithotomy,1
Mediastinal mass,Excision,Others,Videoscopic,Right lateral decubitus,1
Hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Videoscopic,Prone,1
Malignant neoplasm of anorectal junction,Low anterior resection,Colorectal,Open,Lithotomy,1
Portal vein thrombosis,Embolectomy,Vascular,Open,Supine,1
Ground-glass opacity ,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Infiltrating ductal carcinoma of breast left,Radical mastectomy,Breast,Open,Supine,1
"Gastrointestinal stromal tumor of small intestine, benign",Small bowel segmental resection,Stomach,Videoscopic,Supine,1
Benign neoplasm of female breast unspecified side,Excision,Breast,Open,Supine,1
Gallbladder cancer ,Radical cholecystectomy,Biliary/Pancreas,Open,Lithotomy,1
Metastatic cancer to the liver ,Hemihepatectomy,Hepatic,Open,Supine,1
Gallbladder adenomyoma,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Lung cancer left,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Bronchopleural fistula,Incision and drainage,Others,Open,Right lateral decubitus,1
Rectal cancer,Transanal endoscopic microsurgery,Colorectal,Open,Prone,1
Choledochal cyst ,Choledochal cyst excision,Biliary/Pancreas,Open,Supine,1
"Chronic kidney disease, stage 5",Percutaneous biopsy,Vascular,Open,Supine,1
Liver function tests abnormality,Ligation and stripping,Vascular,Open,Prone,1
Early gastric cancer,Hernia repair,Colorectal,Open,Supine,1
"Colon cancer, sigmoid",Ileostomy repair,Colorectal,Open,Lithotomy,1
Mirizzi syndrome without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Paraganglioma,Adrenalectomy,Others,Open,Supine,1
Common bile duct disease,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Enterocutaneous fistula ,Exploratory laparotomy,Others,Open,Supine,1
"Fournier's gangrene, male",Incision and drainage,Colorectal,Open,Supine,1
Endometrial cancer unknown stage ,Staging operation,Minor resection,Videoscopic,Lithotomy,1
Hepatocellular carcinoma,Excision,Others,Open,Right lateral decubitus,1
Colon cancer ,Extended hemicolectomy,Colorectal,Open,Supine,1
Liver cirrhosis with hepatitis B Child-Pugh A,Liver transplantation,Transplantation,Open,Supine,1
"Neuroendocrine tumor of pancreas, G2",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
"Endometrial cancer, stage 1A",Total hysterectomy ,Major resection,Videoscopic,Lithotomy,1
Symptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,1
Lipoleiomyoma of uterus,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,1
Liver cirrhosis with hepatitis B Unspecified,Segmental resection of colon,Colorectal,Videoscopic,Lithotomy,1
Peripheral artery occlusive disease involving arteries below knee,Embolectomy,Vascular,Open,Supine,1
Pelvic mass,Exploratory laparotomy,Others,Open,Supine,1
Atrioventricular block,Excision,Others,Open,Supine,1
Pelvic mass ,Excision,Others,Open,Prone,1
rectal cancer,Transanal excision,Colorectal,Open,Prone,1
Cystic disease of liver,Marsupialization,Hepatic,Videoscopic,Supine,1
Vulvar cancer unknown stage,Exploratory laparotomy,Others,Open,Lithotomy,1
Invasive thymoma ,Thymectomy,Others,Robotic,Supine,1
"Mucinous cystic neoplasm of pancreas, malignant",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Acute acalculous cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Liver cirrhosis with hepatitis B Child-Pugh A,Liver segmentectomy,Hepatic,Open,Supine,1
Lymphoma ,Biopsy,Others,Open,Supine,1
"Intraductal papillary mucinous neoplasm, benign",Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Hepatoid adenocarcinoma,Hemihepatectomy,Hepatic,Videoscopic,Lithotomy,1
gallbladder stone,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Congenital cystic adenomatoid malformation of lung ,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Abdominal mass,Exploratory laparotomy,Others,Open,Lithotomy,1
"Intraductal papillary mucinous neoplasm of bile duct, malignant",Hemihepatectomy,Hepatic,Open,Supine,1
early gastric cancer,Remnant total gastrectomy,Stomach,Open,Supine,1
Gallbladder cancer ,Hepatic hilar resection,Hepatic,Open,Left lateral decubitus,1
Pilonidal sinus with abscess ,Excision,Colorectal,Open,Prone,1
Rectal cancer,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Breast cancer unspecified side,Breast-conserving surgery,Breast,Open,Lithotomy,1
Common bile duct stone without obstruction,Debridement of wound,Others,Open,Left lateral decubitus,1
Acute peritonitis,Exploratory laparotomy,Others,Open,Supine,1
Adenocarcinoma of gallbladder,Gastric wedge resection,Stomach,Videoscopic,Supine,1
Macrodactyly,Ligation and stripping,Vascular,Open,Supine,1
Colorectal cancer ,Ileostomy repair,Colorectal,Open,Supine,1
Breast cancer unspecified side,Excision,Others,Open,Left lateral decubitus,1
Lung transplant status ,Sternal fixation,Others,Open,Supine,1
Chronic pancreatitis,Gastrojejunostomy,Stomach,Open,Supine,1
Urethral caruncle ,Excision,Minor resection,Open,Lithotomy,1
Rectovaginal fistula,Exploratory laparotomy,Others,Open,Prone,1
Epithelial ovarian cancer unknown stage unspecified side,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Metastatic cancer to the liver,Cholecystectomy,Biliary/Pancreas,Open,Supine,1
Colon cancer ,subtotal colectomy,Colorectal,Open,Lithotomy,1
Lipoma,Excision,Others,Open,Supine,1
Non-small cell lung cancer right,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Colon cancer,Incisional hernia repair,Colorectal,Videoscopic,Supine,1
Lupus nephritis,Exploratory laparotomy,Others,Open,Supine,1
Familial adenomatous polyposis ,Ileostomy repair,Colorectal,Open,Supine,1
Chronic kidney disease,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Tonsillar cancer,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Kidney transplant status,Closure of arteriovenous fistula,Vascular,Open,Supine,1
Unspecified gastric cancer,Total gastrectomy,Stomach,Videoscopic,Supine,1
Gastrointestinal stromal tumor,Exploratory laparotomy,Others,Open,Supine,1
colon cancer ,Liver sectionectomy,Hepatic,Videoscopic,Supine,1
"Abnormal chest CT, lung nodule",Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Ductal carcinoma in situ of breast with microinvasion left,Total mastectomy,Breast,Open,Supine,1
Metastatic cancer to the liver ,Liver sectionectomy,Hepatic,Open,Supine,1
"Tubulovillous adenoma, rectum",Low anterior resection,Colorectal,Videoscopic,Lithotomy,1
Mastitis ,Incision and drainage,Others,Open,Supine,1
Endometrial cancer unknown stage ,Total hysterectomy ,Major resection,Videoscopic,Lithotomy,1
"Aneurysm, abdominal aorta, s/p Aortoiliac bypass",Adhesiolysis,Others,Open,Supine,1
Colon cancer,subtotal colectomy,Colorectal,Videoscopic,Supine,1
Malignant melanoma,Inguinal lymph node dissection,Colorectal,Open,Supine,1
Living liver donor,Bleeding control,Others,Open,Supine,1
Adenocarcinoma of rectum,Ileostomy repair,Colorectal,Open,Supine,1
Cecal cancer,Hemicolectomy,Colorectal,Videoscopic,Supine,1
Diabetic footwith multiple complications,Arteriovenous fistula,Vascular,Open,Supine,1
Colorectal polyp,Hemicolectomy,Colorectal,Videoscopic,Trendelenburg,1
Small cell lung cancer unspecified side,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Mediastinal lymphadenopathy,Mediastinal lymph node dissection,Others,Videoscopic,Left lateral decubitus,1
Chronic renal failure ,Insertion of continuous ambulatory peritoneal dialysis catheter,Stomach,Videoscopic,Supine,1
Carcinoma in situ of bladder,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,1
Rectal cancer,Ileostomy,Colorectal,Open,Lithotomy,1
"Abnormal chest CT, lung",Biopsy,Others,Videoscopic,Right lateral decubitus,1
Prostate cancer,Biopsy,Others,Videoscopic,Supine,1
Colorectal polyp,Transanal excision,Colorectal,Open,Prone,1
Colon cancer ,Total colectomy,Colorectal,Videoscopic,Lithotomy,1
Melanoma,Inguinal lymph node dissection,Colorectal,Open,Supine,1
Endometrial cancer unknown stage ,Exploratory laparotomy,Major resection,Open,Lithotomy,1
Metastatic cancer to the lung,Metastasectomy,Minor resection,Open,Supine,1
Abdominal hernia,Hernia repair,Others,Open,Supine,1
"Villous adenoma, colon",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
thyroid nodule ,Thyroid lobectomy,Thyroid,Open,Supine,1
Post traumatic pain syndrome,Ligation and stripping,Vascular,Open,Supine,1
"Right inguinal hernia, Not specified as recurrent",Hernia repair,Colorectal,Open,Supine,1
Pheochromocytoma ,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Abnormal electrocardiogram,Parathyroidectomy,Thyroid,Open,Supine,1
"Gastric submucosal tumor, benign",Gastric wedge resection,Stomach,Videoscopic,Left lateral decubitus,1
Sarcoma,Exploratory laparotomy,Others,Open,Supine,1
Lung cancer left,Sleeve lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Colon cancer,Transanal excision,Colorectal,Open,Prone,1
Pelvic mass ,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,1
Colitis,subtotal colectomy,Colorectal,Open,Lithotomy,1
"Gastric submucosal tumor, unknown behavior",Closure of wound,Others,Open,Supine,1
Pancreatic cancer,Pancreatosplenectomy,Biliary/Pancreas,Open,Supine,1
Morbid obesity,Distal gastrectomy,Stomach,Videoscopic,Supine,1
Enterocutaneous fistula ,Fistulectomy,Colorectal,Open,Supine,1
Chronic hepatitis B,Liver transplantation,Transplantation,Open,Supine,1
Crohn's disease unspecified,Small bowel segmental resection,Stomach,Open,Supine,1
Liver cirrhosis with hepatitis B Child-Pugh B,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
Colon perforation,Colostomy repair,Colorectal,Open,Supine,1
"Cholangiocarcinoma, extrahepatic",Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
"Neuroendocrine tumor of pancreas, G3",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Endometrial cancer unknown stage,Total hysterectomy,Major resection,Robotic,Lithotomy,1
