"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Infiltrating ductal carcinoma of breast left","Simple mastectomy","Breast","Open","Supine","8","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer right","Lung lobectomy","Major resection","Open","Left lateral decubitus","8","Major resection","70.8","Major","Thoracic","Open","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Breast cancer right","Total mastectomy","Breast","Open","Supine","8","Breast","71.1","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Robotic","Supine","8","Stomach","72.0","Major","Abdominal / GI","Robotic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Videoscopic","Lithotomy","8","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Esophageal cancer","Esophagectomy","Others","Robotic","Left lateral decubitus","7","Others","69.8","Major","Soft Tissue / Access / Misc","Robotic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:>6hr"
"Breast cancer left","Total mastectomy","Breast","Open","Supine","7","Breast","71.8","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Empyema with bronchopleural fistula","Debridement of wound","Others","Videoscopic","Right lateral decubitus","7","Others","66.6","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Empyema with bronchopleural fistula","Debridement of wound","Others","Open","Supine","7","Others","66.6","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Infiltrating ductal carcinoma of breast right","Total mastectomy","Breast","Open","Supine","7","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Lithotomy","7","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Open","Supine","7","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Breast cancer right","Simple mastectomy","Breast","Open","Supine","7","Breast","71.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer left","Lung sgmentectomy","Minor resection","Videoscopic","Right lateral decubitus","7","Minor resection","74.0","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, transverse","Extended hemicolectomy","Colorectal","Open","Supine","7","Colorectal","72.9","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Colon cancer, sigmoid","Exploratory laparotomy","Others","Open","Lithotomy","7","Others","74.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"End stage renal disease","Kidney transplantation","Transplantation","Open","Supine","7","Transplantation","63.2","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Adhesive ileus","Exploratory laparotomy","Others","Open","Supine","7","Others","78.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Thymoma","Thymectomy","Others","Robotic","Supine","7","Others","76.9","Major","Soft Tissue / Access / Misc","Robotic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Abnormal chest CT, lung nodule","Lung sgmentectomy","Minor resection","Videoscopic","Left lateral decubitus","7","Minor resection","66.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gallbladder cancer","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","7","Biliary/Pancreas","70.9","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Aneurysm, abdominal aorta","Aortoiliac bypass","Vascular","Open","Supine","7","Vascular","59.6","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Common bile duct cancer, distal","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","7","Biliary/Pancreas","77.9","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Symptomatic gallbladder stone with obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","7","Biliary/Pancreas","60.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Reverse Trendelenburg","7","Biliary/Pancreas","62.7","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Common bile duct cancer","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","7","Biliary/Pancreas","81.1","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Atherosclerosis obliterans, limb","Endarterectomy","Vascular","Open","Supine","7","Carotid","69.5","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Mediastinal mass","Excision","Others","Videoscopic","Left lateral decubitus","7","Others","56.4","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Alcoholic liver cirrhosis with ascites","Liver transplantation","Transplantation","Open","Supine","7","Transplantation","68.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:>6hr"
"Myoma uteri","Myomectomy","Minor resection","Videoscopic","Lithotomy","7","Minor resection","71.6","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"Abnormal chest CT, lung nodule","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","6","Minor resection","64.5","Major","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Aneurysm, abdominal aorta","Aneurysmal repair","Vascular","Open","Supine","6","Vascular","69.0","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Revision | Supine","Est.Duration:>6hr"
"Ground-glass opacity","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","6","Minor resection","73.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Idiopathic thrombocytopenic purpura","Splenectomy","Biliary/Pancreas","Videoscopic","Supine","6","Biliary/Pancreas","60.2","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Asymptomatic gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","6","Others","56.5","Major","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Lung cancer left","Lung lobectomy","Major resection","Open","Right lateral decubitus","6","Major resection","71.5","Major","Thoracic","Open","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Gastrointestinal stromal tumor","Gastric wedge resection","Stomach","Videoscopic","Supine","6","Stomach","70.1","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Intraductal papillary mucinous neoplasm of pancreas, borderline","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","6","Biliary/Pancreas","52.8","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Bilateral inguinal hernia not specified as recurrent","Hernia repair","Colorectal","Open","Supine","6","CraniVessel","50.4","Minor","Neuro / Spine","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Infiltrating ductal carcinoma of breast unspecified side","Breast-conserving surgery","Breast","Open","Supine","6","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer unspecified side","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","6","Major resection","64.9","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Symptomatic gallbladder stone without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Reverse Trendelenburg","6","Biliary/Pancreas","62.8","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Hepatocellular carcinoma","Liver segmentectomy","Hepatic","Open","Lithotomy","6","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Ground-glass opacity","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","6","Minor resection","73.4","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Antenatal care for high risk pregnancy","Cesarean section","Others","Open","Supine","6","Others","63.1","Major","Abdominal / GI","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Anal fistula","Fistulectomy","Colorectal","Open","Prone","6","Colorectal","73.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Colon cancer, sigmoid","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","6","Minor resection","68.8","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Pancreatic cancer","Pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","6","Biliary/Pancreas","77.2","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Early gastric cancer","Distal gastrectomy","Stomach","Videoscopic","Lithotomy","6","Stomach","72.0","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Metastatic cancer to the lung left","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","6","Minor resection","62.9","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Metastatic cancer to the lung right","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","6","Minor resection","62.6","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Colon cancer","Anterior resection","Colorectal","Videoscopic","Lithotomy","6","Colorectal","60.2","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Lung cancer right","Lung bilobectomy","Major resection","Videoscopic","Left lateral decubitus","6","Major resection","72.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"End stage renal disease","Bleeding control","Others","Open","Supine","6","Others","68.8","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Kidney donor, live related","Donor nephrectomy","Transplantation","Videoscopic","Supine","6","Transplantation","71.2","Major","Urology","Laparoscopic","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer, rectosigmoid","Ileostomy repair","Colorectal","Open","Supine","6","Colorectal","67.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Gallbladder stone","Cholecystectomy","Biliary/Pancreas","Videoscopic","Reverse Trendelenburg","5","Biliary/Pancreas","71.6","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Trendelenburg","Est.Duration:<2hr"
"Disorder of kidney and ureter","Nephrectomy","Major resection","Robotic","Right lateral decubitus","5","Major resection","62.0","Major","Urology","Robotic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Hemihepatectomy","Hepatic","Videoscopic","Lithotomy","5","Hepatic","67.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:3-6hr"
"Open wound of chest wall","Debridement of wound","Others","Open","Supine","5","Others","65.8","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","5","Colorectal","74.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Abnormal chest CT, lung nodule","Lung sgmentectomy","Minor resection","Videoscopic","Right lateral decubitus","5","Minor resection","66.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Myoma uteri","Hysterectomy","Major resection","Videoscopic","Lithotomy","5","Major resection","74.0","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Chronic kidney disease, stage 5","Kidney transplantation","Transplantation","Open","Supine","5","Transplantation","72.6","Major","Urology","Open","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Transplant/Reconstruction | Supine","Est.Duration:3-6hr"
"Hyperparathyroidism","Parathyroidectomy","Thyroid","Open","Supine","5","Thyroid","66.4","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Papillary transitional cell carcinoma, non-invasive","Transurethral resection of bladder tumor","Minor resection","Videoscopic","Lithotomy","5","Minor resection","53.3","Minor","Urology","Laparoscopic","Cystoscopy / TURBT","Malignancy | Primary | Lithotomy","Est.Duration:<2hr"
"Inguinal hernia not specified as recurrent","Hernia repair","Colorectal","Videoscopic","Supine","5","Colorectal","60.1","Minor","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"End stage renal disease","Arteriovenous fistula","Vascular","Open","Supine","5","Vascular","72.3","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
